civ_type,civ_name,syncretism_target_type,syncretism_target_name
CIVILIZATION_ABBASID,Abbasid,CIVILIZATION_BUGANDA,Buganda
CIVILIZATION_ABBASID,Abbasid,CIVILIZATION_MUGHAL,Mughal
CIVILIZATION_ABBASID,Abbasid,CIVILIZATION_OTTOMANS,Ottomans
CIVILIZATION_ABBASID,Abbasid,CIVILIZATION_QAJAR,Qajar
CIVILIZATION_AKSUM,Aksum,CIVILIZATION_BUGANDA,Buganda
CIVILIZATION_AKSUM,Aksum,CIVILIZATION_PIRATE_REPUBLIC,Republic of Pirates
CIVILIZATION_AKSUM,Aksum,CIVILIZATION_SONGHAI,Songhai
CIVILIZATION_ASSYRIA,Assyria,CIVILIZATION_ABBASID,Abbasid
CIVILIZATION_ASSYRIA,Assyria,CIVILIZATION_BULGARIA,Bulgaria
CIVILIZATION_ASSYRIA,Assyria,CIVILIZATION_QAJAR,Qajar
CIVILIZATION_BULGARIA,Bulgaria,CIVILIZATION_RUSSIA,Russia
CIVILIZATION_CARTHAGE,Carthage,CIVILIZATION_OTTOMANS,Ottomans
CIVILIZATION_CARTHAGE,Carthage,CIVILIZATION_PIRATE_REPUBLIC,Republic of Pirates
CIVILIZATION_CARTHAGE,Carthage,CIVILIZATION_SPAIN,Spain
CIVILIZATION_CHOLA,Chola,CIVILIZATION_MUGHAL,Mughal
CIVILIZATION_CHOLA,Chola,CIVILIZATION_NEPAL,Nepal
CIVILIZATION_CHOLA,Chola,CIVILIZATION_SIAM,Siam
CIVILIZATION_DAI_VIET,Đại Việt,CIVILIZATION_SIAM,Siam
CIVILIZATION_EGYPT,Egypt,CIVILIZATION_ABBASID,Abbasid
CIVILIZATION_EGYPT,Egypt,CIVILIZATION_OTTOMANS,Ottomans
CIVILIZATION_EGYPT,Egypt,CIVILIZATION_SONGHAI,Songhai
CIVILIZATION_GREECE,Greece,CIVILIZATION_BULGARIA,Bulgaria
CIVILIZATION_GREECE,Greece,CIVILIZATION_NORMAN,Norman
CIVILIZATION_GREECE,Greece,CIVILIZATION_RUSSIA,Russia
CIVILIZATION_GREECE,Greece,CIVILIZATION_SPAIN,Spain
CIVILIZATION_HAN,Han,CIVILIZATION_MING,Ming
CIVILIZATION_HAN,Han,CIVILIZATION_MONGOLIA,Mongolia
CIVILIZATION_HAN,Han,CIVILIZATION_QING,Qing
CIVILIZATION_HAWAII,Hawai'i,CIVILIZATION_MEIJI,Meiji Japan
CIVILIZATION_ICELAND,Iceland,CIVILIZATION_AMERICA,America
CIVILIZATION_INCA,Inca,CIVILIZATION_MEXICO,Mexico
CIVILIZATION_KHMER,Khmer,CIVILIZATION_CHOLA,Chola
CIVILIZATION_KHMER,Khmer,CIVILIZATION_DAI_VIET,Đại Việt
CIVILIZATION_KHMER,Khmer,CIVILIZATION_MAJAPAHIT,Majapahit
CIVILIZATION_KHMER,Khmer,CIVILIZATION_SIAM,Siam
CIVILIZATION_MAJAPAHIT,Majapahit,CIVILIZATION_MEIJI,Meiji Japan
CIVILIZATION_MAURYA,Maurya,CIVILIZATION_CHOLA,Chola
CIVILIZATION_MAURYA,Maurya,CIVILIZATION_MAJAPAHIT,Majapahit
CIVILIZATION_MAURYA,Maurya,CIVILIZATION_NEPAL,Nepal
CIVILIZATION_MAYA,Maya,CIVILIZATION_HAWAII,Hawai'i
CIVILIZATION_MAYA,Maya,CIVILIZATION_INCA,Inca
CIVILIZATION_MAYA,Maya,CIVILIZATION_MEXICO,Mexico
CIVILIZATION_MING,Ming,CIVILIZATION_QING,Qing
CIVILIZATION_MISSISSIPPIAN,Mississippian,CIVILIZATION_HAWAII,Hawai'i
CIVILIZATION_MISSISSIPPIAN,Mississippian,CIVILIZATION_INCA,Inca
CIVILIZATION_MISSISSIPPIAN,Mississippian,CIVILIZATION_SHAWNEE,Shawnee
CIVILIZATION_MONGOLIA,Mongolia,CIVILIZATION_QING,Qing
CIVILIZATION_MONGOLIA,Mongolia,CIVILIZATION_RUSSIA,Russia
CIVILIZATION_NORMAN,Norman,CIVILIZATION_AMERICA,America
CIVILIZATION_NORMAN,Norman,CIVILIZATION_FRENCH_EMPIRE,French Empire
CIVILIZATION_NORMAN,Norman,CIVILIZATION_GREAT_BRITAIN,Great Britain
CIVILIZATION_NORMAN,Norman,CIVILIZATION_PRUSSIA,Prussia
CIVILIZATION_PERSIA,Achaemenid Persia,CIVILIZATION_ABBASID,Abbasid
CIVILIZATION_PERSIA,Achaemenid Persia,CIVILIZATION_MONGOLIA,Mongolia
CIVILIZATION_PERSIA,Achaemenid Persia,CIVILIZATION_MUGHAL,Mughal
CIVILIZATION_PERSIA,Achaemenid Persia,CIVILIZATION_QAJAR,Qajar
CIVILIZATION_PIRATE_REPUBLIC,Republic of Pirates,CIVILIZATION_FRENCH_EMPIRE,French Empire
CIVILIZATION_PIRATE_REPUBLIC,Republic of Pirates,CIVILIZATION_GREAT_BRITAIN,Great Britain
CIVILIZATION_ROME,Rome,CIVILIZATION_AMERICA,America
CIVILIZATION_ROME,Rome,CIVILIZATION_FRENCH_EMPIRE,French Empire
CIVILIZATION_ROME,Rome,CIVILIZATION_GREAT_BRITAIN,Great Britain
CIVILIZATION_ROME,Rome,CIVILIZATION_ICELAND,Iceland
CIVILIZATION_ROME,Rome,CIVILIZATION_NORMAN,Norman
CIVILIZATION_ROME,Rome,CIVILIZATION_OTTOMANS,Ottomans
CIVILIZATION_ROME,Rome,CIVILIZATION_PRUSSIA,Prussia
CIVILIZATION_ROME,Rome,CIVILIZATION_SPAIN,Spain
CIVILIZATION_SHAWNEE,Shawnee,CIVILIZATION_AMERICA,America
CIVILIZATION_SHAWNEE,Shawnee,CIVILIZATION_MEXICO,Mexico
CIVILIZATION_SILLA,Silla Korea,CIVILIZATION_MONGOLIA,Mongolia
CIVILIZATION_SONGHAI,Songhai,CIVILIZATION_BUGANDA,Buganda
CIVILIZATION_SPAIN,Spain,CIVILIZATION_MEXICO,Mexico
CIVILIZATION_TONGA,Tonga,CIVILIZATION_HAWAII,Hawai'i
