node_type,name,age,tree,cost,description_raw,description_clean,prereqs,unlocks,column_pos,row_pos,icon_string
NODE_CIVIC_AQ_MAIN_CHIEFDOM,Chiefdom,AGE_ANTIQUITY,TREE_CIVICS_AQ_MAIN,90,,,,KIND_TRADITION:TRADITION_CHARISMATIC_LEADER|KIND_TRADITION:TRADITION_TOOL_MAKING,0,0,cult_chiefdom
NODE_CIVIC_AQ_MAIN_MYSTICISM,Mysticism,AGE_ANTIQUITY,TREE_CIVICS_AQ_MAIN,125,,,NODE_CIVIC_AQ_MAIN_CHIEFDOM,KIND_TRADITION:TRADITION_PRIESTHOOD|KIND_CONSTRUCTIBLE:BUILDING_ALTAR|KIND_TRADITION:TRADITION_CLAN_NETWORKS|KIND_CONSTRUCTIBLE:WONDER_GREAT_STELE,1,1,cult_mysticism
NODE_CIVIC_AQ_MAIN_DISCIPLINE,Discipline,AGE_ANTIQUITY,TREE_CIVICS_AQ_MAIN,125,,,NODE_CIVIC_AQ_MAIN_CHIEFDOM,KIND_TRADITION:TRADITION_SURVEY|KIND_CONSTRUCTIBLE:WONDER_DUR_SHARRUKIN|KIND_UNIT:UNIT_ARMY_COMMANDER|KIND_UNIT:UNIT_HAZARAPATIS[TRAIT_PERSIA]|KIND_UNIT:UNIT_LEGATUS[TRAIT_ROME]|KIND_TRADITION:TRADITION_HONOR|KIND_CONSTRUCTIBLE:WONDER_GATE_OF_ALL_NATIONS|KIND_UNIT:UNIT_TURTANU[TRAIT_ASSYRIA],1,0,cult_discipline
NODE_CIVIC_AQ_MAIN_PUBLIC_LIFE,Public Life,AGE_ANTIQUITY,TREE_CIVICS_AQ_MAIN,245,,,NODE_CIVIC_AQ_MAIN_MYSTICISM,KIND_TRADITION:TRADITION_CITY_GUARD|KIND_CONSTRUCTIBLE:WONDER_ORACLE,2,1,cult_publiclife
NODE_CIVIC_AQ_MAIN_CODE_OF_LAWS,Code of Laws,AGE_ANTIQUITY,TREE_CIVICS_AQ_MAIN,245,,,NODE_CIVIC_AQ_MAIN_MYSTICISM|NODE_CIVIC_AQ_MAIN_DISCIPLINE,KIND_TRADITION:TRADITION_ORATORY|KIND_CONSTRUCTIBLE:WONDER_PETRA|KIND_UNIT:UNIT_MERCHANT|KIND_UNIT:UNIT_VAISHYA[TRAIT_KHMER]|KIND_DIPLOMATIC_ACTION:DIPLOMACY_ACTION_IMPROVE_TRADE_RELATIONS|KIND_TRADITION:TRADITION_ETHICS|KIND_CONSTRUCTIBLE:WONDER_MUNDO_PERDIDO|KIND_DIPLOMATIC_ACTION:DIPLOMACY_ACTION_ESPIONAGE_STEAL_CIVIC|KIND_UNIT:UNIT_SANGDAEDEUNG[TRAIT_SILLA],2,0,cult_codeoflaws
NODE_CIVIC_AQ_MAIN_TACTICS,Tactics,AGE_ANTIQUITY,TREE_CIVICS_AQ_MAIN,245,,,NODE_CIVIC_AQ_MAIN_DISCIPLINE,KIND_TRADITION:TRADITION_DRILLS|KIND_CONSTRUCTIBLE:WONDER_TERRACOTTA_ARMY,2,2,cult_banners
NODE_CIVIC_AQ_MAIN_ENTERTAINMENT,Entertainment,AGE_ANTIQUITY,TREE_CIVICS_AQ_MAIN,450,,,NODE_CIVIC_AQ_MAIN_PUBLIC_LIFE,KIND_TRADITION:TRADITION_RITES_AND_RITUALS|KIND_CONSTRUCTIBLE:WONDER_COLOSSEUM,3,1,cult_entertainment
NODE_CIVIC_AQ_MAIN_CITIZENSHIP,Citizenship,AGE_ANTIQUITY,TREE_CIVICS_AQ_MAIN,450,,,NODE_CIVIC_AQ_MAIN_CODE_OF_LAWS,KIND_TRADITION:TRADITION_CASTES|KIND_TRADITION:TRADITION_DRAMA_AND_POETRY|KIND_CONSTRUCTIBLE:WONDER_EMILE_BELL|KIND_PROJECT:PROJECT_CITY_CULTURE_PROJECT|KIND_TRADITION:TRADITION_HOSPITALITY|KIND_CONSTRUCTIBLE:WONDER_WEIYANG_PALACE|KIND_DIPLOMATIC_ACTION:DIPLOMACY_ACTION_WONDER_CONSTRUCTION,3,0,cult_citizenship
NODE_CIVIC_AQ_MAIN_ORG_MILITARY,Organized Military,AGE_ANTIQUITY,TREE_CIVICS_AQ_MAIN,450,,,NODE_CIVIC_AQ_MAIN_TACTICS,KIND_TRADITION:TRADITION_CONSCRIPTION|KIND_CONSTRUCTIBLE:WONDER_MAUSOLEUM_OF_THEODORIC,3,2,cult_organizedmilitary
NODE_CIVIC_AQ_MAIN_LITERACY,Literacy,AGE_ANTIQUITY,TREE_CIVICS_AQ_MAIN,600,,,NODE_CIVIC_AQ_MAIN_CITIZENSHIP,KIND_TRADITION:TRADITION_LITERATURE|KIND_CONSTRUCTIBLE:WONDER_NALANDA,4,0,cult_literacy
NODE_CIVIC_AQ_MAIN_SKILLED_TRADES,Skilled Trades,AGE_ANTIQUITY,TREE_CIVICS_AQ_MAIN,600,,,NODE_CIVIC_AQ_MAIN_CITIZENSHIP,KIND_TRADITION:TRADITION_COINAGE|KIND_CONSTRUCTIBLE:WONDER_SANCHI_STUPA,4,1,cult_skilledtrades
NODE_CIVIC_AQ_MAIN_PHILOSOPHY,Philosophy,AGE_ANTIQUITY,TREE_CIVICS_AQ_MAIN,750,,,NODE_CIVIC_AQ_MAIN_LITERACY,KIND_TRADITION:TRADITION_SCHOLARS|KIND_CONSTRUCTIBLE:WONDER_ANGKOR_WAT,5,1,cult_philosophy
