bonus_type,city_state_type,age,name,description_raw,description_clean,shareable
CITY_STATE_BONUS_ANTIQUITY_10,CULTURAL,AGE_ANTIQUITY,Arch,+5% [icon:YIELD_PRODUCTION] Production towards constructing [icon:WONDER] Wonders for every [icon:CITYSTATE] Cultural [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+5% Production towards constructing Wonders for every Cultural City-State you are Suzerain of.,0
CITY_STATE_BONUS_ANTIQUITY_6,CULTURAL,AGE_ANTIQUITY,Megalith,Allows the construction of the Megalith Unique Improvement. [n]The Megalith provides +2[icon:YIELD_CULTURE] Culture. +1[icon:YIELD_FOOD] Food for every adjacent [icon:CITY_RURAL]Improvement. Must be placed on an existing Improvement on Flat Terrain.,Allows the construction of the Megalith Unique Improvement. The Megalith provides +2 Culture. +1 Food for every adjacent Improvement. Must be placed on an existing Improvement on Flat Terrain.,0
CITY_STATE_BONUS_ANTIQUITY_7,CULTURAL,AGE_ANTIQUITY,Monumental Architecture,+2 [icon:YIELD_CULTURE]Culture on [icon:YIELD_CULTURE]Culture Buildings.,+2 Culture on Culture Buildings.,0
CITY_STATE_BONUS_ANTIQUITY_8,CULTURAL,AGE_ANTIQUITY,Shrines to the Jinn,Receive a free [icon:RADIAL_CIVICS] Civic.,Receive a free Civic.,0
CITY_STATE_BONUS_ANTIQUITY_9,CULTURAL,AGE_ANTIQUITY,Jus Coloniae,+1 [icon:SOCIAL_POLICY] Social Policy Slot.,+1 Social Policy Slot.,0
CITY_STATE_CULTURAL_BONUS_ANTIQUITY_6,CULTURAL,AGE_ANTIQUITY,Ennigaldi-Nanna's Museum,+2[icon:YIELD_CULTURE]Culture on displayed [icon:NAR_REW_GREATWORK]Codices.,+2Culture on displayed Codices.,0
CITY_STATE_CULTURAL_BONUS_ANTIQUITY_7,CULTURAL,AGE_ANTIQUITY,Papermaking,+1[icon:YIELD_CULTURE]Culture on Saw Pits and Fishing Quays. This bonus can be chosen by multiple Civilizations.,+1Culture on Saw Pits and Fishing Quays. This bonus can be chosen by multiple Civilizations.,1
CITY_STATE_DIPLOMATIC_BONUS_ANTIQUITY_1,DIPLOMATIC,AGE_ANTIQUITY,Festival Grounds,Allows the creation of the Festival Grounds Improvement.[n]The Festival Grounds provides +1 [icon:YIELD_DIPLOMACY] and +1 [icon:YIELD_HAPPINESS] Happiness. Double base yields during [icon:CELEBRATION] Celebrations. Must be placed on an existing [icon:CITY_RURAL] Improvement on Flat Terrain adjacent to a District. One per Settlement.,Allows the creation of the Festival Grounds Improvement. The Festival Grounds provides +1 and +1 Happiness. Double base yields during Celebrations. Must be placed on an existing Improvement on Flat Terrain adjacent to a District. One per Settlement.,0
CITY_STATE_DIPLOMATIC_BONUS_ANTIQUITY_2,DIPLOMATIC,AGE_ANTIQUITY,Send Delegation,Gain the [icon:ENDEAVOR]Send Delegation Endeavor. [n][B]Accept:[/B] Both Civs gain +4 [icon:YIELD_HAPPINESS]Happiness per turn and you gain vision of their [icon:NOTIFICATION_SELECT_CAPITAL] Capital for the duration. [n][B]Support:[/B] Both Civs gain +8 [icon:YIELD_HAPPINESS]Happiness per turn and you both gain vision of each other's [icon:NOTIFICATION_SELECT_CAPITAL]Capitals for the duration.,Gain the Send Delegation Endeavor. Accept: Both Civs gain +4 Happiness per turn and you gain vision of their Capital for the duration. Support: Both Civs gain +8 Happiness per turn and you both gain vision of each other's Capitals for the duration.,0
CITY_STATE_DIPLOMATIC_BONUS_ANTIQUITY_3,DIPLOMATIC,AGE_ANTIQUITY,Vigiles Urbani,+2 [icon:YIELD_HAPPINESS]Happiness on [icon:YIELD_HAPPINESS]Happiness Buildings.,+2 Happiness on Happiness Buildings.,0
