independent_type,city_name,tribe_name,city_state_type,affinity,biome,age
INDEPENDENT_ANTIQUITY_15,Ōfunato,Jomon,CULTURAL,Neutral,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_2,Taruga,Nok,CULTURAL,Friendly,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_27,Arkaim,Sintashta,CULTURAL,Hostile,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_39,Shomron,Israelite,CULTURAL,Neutral,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_47,Dhar Tichitt,Tichitt,CULTURAL,Neutral,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_51,Tollan-Xicocotitlan,Toltec,CULTURAL,Hostile,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_53,Chan Chan,Chimú,CULTURAL,Neutral,Desert,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_57,Champa,Cham,CULTURAL,Hostile,Tropical,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_58,Vyadhapura,Funan,CULTURAL,Hostile,Tropical,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_61,Si Thep,Dvaravati,CULTURAL,Friendly,Tropical,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_12,Gungnae,Goguryeo,DIPLOMATIC,Friendly,Tundra,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_20,Arna,Lycian,DIPLOMATIC,Friendly,Tundra,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_21,Troy,Trojan,DIPLOMATIC,Hostile,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_26,Izirtu,Mannean,DIPLOMATIC,Neutral,Tundra,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_28,Khalchyan,Kushan,DIPLOMATIC,Hostile,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_38,Megiddo,Canaanite,DIPLOMATIC,Neutral,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_46,La Venta,Olmec,DIPLOMATIC,Neutral,Tropical,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_55,Moche,Moche,DIPLOMATIC,Friendly,Desert,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_56,Nagtipunan,Bugkalot,DIPLOMATIC,Hostile,Tropical,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_6,Cirta,Numidian,DIPLOMATIC,Hostile,Desert,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_1,Meroë,Kushite,ECONOMIC,Friendly,Desert,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_11,Kuaiji,Yue,ECONOMIC,Friendly,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_24,Gordium,Phrygian,ECONOMIC,Neutral,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_25,Acmonia,Dacian,ECONOMIC,Neutral,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_29,Samarkand,Sogdian,ECONOMIC,Neutral,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_3,Tyre,Phoenician,ECONOMIC,Friendly,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_5,Opone,Oponean,ECONOMIC,Neutral,Desert,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_62,Kerma,Kerman,ECONOMIC,Friendly,Tropical,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_8,Yilan,Kavalan,ECONOMIC,Neutral,Tropical,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_13,Yamatai,Yayoi,EXPANSIONIST,Hostile,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_19,Aritim,Etruscan,EXPANSIONIST,Friendly,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_32,Anuradhapura,Sinhalese,EXPANSIONIST,Friendly,Tropical,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_35,Waššukanni,Mitanni,EXPANSIONIST,Hostile,Desert,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_37,Sugunia,Urartu,EXPANSIONIST,Neutral,Tundra,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_41,Hattusa,Hittite,EXPANSIONIST,Neutral,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_44,Seleucia,Seleucid,EXPANSIONIST,Hostile,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_48,Painted Rock,Hohokam,EXPANSIONIST,Neutral,Desert,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_60,Kutai Martadipura,Kutai,EXPANSIONIST,Neutral,Tropical,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_63,Teouma,Ni-Vanuatu,EXPANSIONIST,Neutral,Tropical,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_14,Longcheng,Xiongnu,MILITARISTIC,Hostile,Tundra,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_17,Gutthiuda,Gothic,MILITARISTIC,Hostile,Tundra,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_18,Syvash,Hunnic,MILITARISTIC,Hostile,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_22,Scythian Neapolis,Scythian,MILITARISTIC,Hostile,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_23,Divodurum,Belgae,MILITARISTIC,Hostile,Tundra,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_30,Khotan,Saka,MILITARISTIC,Hostile,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_34,Caithness,Pictish,MILITARISTIC,Hostile,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_42,Retenu,Hyksos,MILITARISTIC,Hostile,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_43,Su Nuraxi,Shardana,MILITARISTIC,Hostile,Plains,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_59,Sundapura,Tarumanagara,MILITARISTIC,Neutral,Tropical,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_7,Jieshi,Jie,MILITARISTIC,Neutral,Tundra,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_9,Shengle,Xianbei,MILITARISTIC,Hostile,Tundra,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_10,Wiryeseong,Baekje,SCIENTIFIC,Friendly,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_16,Wanggeom-seong,Gojoseon,SCIENTIFIC,Neutral,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_31,Harappa,Harappan,SCIENTIFIC,Neutral,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_33,Rajagriha,Magadhan,SCIENTIFIC,Hostile,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_36,Babylon,Babylonian,SCIENTIFIC,Friendly,Desert,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_4,Phaistos,Minoan,SCIENTIFIC,Hostile,Desert,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_40,Susa,Elamite,SCIENTIFIC,Friendly,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_45,Ur,Sumerian,SCIENTIFIC,Friendly,Desert,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_49,Teotihuacan,Teotihuacanos,SCIENTIFIC,Friendly,Grassland,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_50,Mesa Verde,Pueblo,SCIENTIFIC,Friendly,Desert,AGE_ANTIQUITY
