leader_type,leader_name,syncretism_civ_type,syncretism_civ_name
LEADER_ADA_LOVELACE,Ada Lovelace,CIVILIZATION_ABBASID,Abbasid
LEADER_ADA_LOVELACE,Ada Lovelace,CIVILIZATION_GREAT_BRITAIN,Great Britain
LEADER_ADA_LOVELACE,Ada Lovelace,CIVILIZATION_GREECE,Greece
LEADER_ADA_LOVELACE,Ada Lovelace,CIVILIZATION_NORMAN,Norman
LEADER_ADA_LOVELACE,Ada Lovelace,CIVILIZATION_ROME,Rome
LEADER_ADA_LOVELACE,Ada Lovelace,CIVILIZATION_RUSSIA,Russia
LEADER_ALEXANDER,Alexander,CIVILIZATION_ABBASID,Abbasid
LEADER_ALEXANDER,Alexander,CIVILIZATION_FRENCH_EMPIRE,French Empire
LEADER_ALEXANDER,Alexander,CIVILIZATION_GREECE,Greece
LEADER_ALEXANDER,Alexander,CIVILIZATION_MONGOLIA,Mongolia
LEADER_ALEXANDER,Alexander,CIVILIZATION_OTTOMANS,Ottomans
LEADER_ALEXANDER,Alexander,CIVILIZATION_PERSIA,Achaemenid Persia
LEADER_AMINA,Amina,CIVILIZATION_ABBASID,Abbasid
LEADER_AMINA,Amina,CIVILIZATION_AKSUM,Aksum
LEADER_AMINA,Amina,CIVILIZATION_BUGANDA,Buganda
LEADER_AMINA,Amina,CIVILIZATION_EGYPT,Egypt
LEADER_AMINA,Amina,CIVILIZATION_MEXICO,Mexico
LEADER_AMINA,Amina,CIVILIZATION_PIRATE_REPUBLIC,Republic of Pirates
LEADER_AMINA,Amina,CIVILIZATION_SONGHAI,Songhai
LEADER_ASHOKA,"Ashoka, World Renouncer",CIVILIZATION_CHOLA,Chola
LEADER_ASHOKA,"Ashoka, World Renouncer",CIVILIZATION_HAWAII,Hawai'i
LEADER_ASHOKA,"Ashoka, World Renouncer",CIVILIZATION_KHMER,Khmer
LEADER_ASHOKA,"Ashoka, World Renouncer",CIVILIZATION_MAURYA,Maurya
LEADER_ASHOKA,"Ashoka, World Renouncer",CIVILIZATION_MUGHAL,Mughal
LEADER_ASHOKA,"Ashoka, World Renouncer",CIVILIZATION_NEPAL,Nepal
LEADER_ASHOKA,"Ashoka, World Renouncer",CIVILIZATION_SIAM,Siam
LEADER_ASHOKA_ALT,"Ashoka, World Conqueror",CIVILIZATION_CHOLA,Chola
LEADER_ASHOKA_ALT,"Ashoka, World Conqueror",CIVILIZATION_HAWAII,Hawai'i
LEADER_ASHOKA_ALT,"Ashoka, World Conqueror",CIVILIZATION_KHMER,Khmer
LEADER_ASHOKA_ALT,"Ashoka, World Conqueror",CIVILIZATION_MAURYA,Maurya
LEADER_ASHOKA_ALT,"Ashoka, World Conqueror",CIVILIZATION_MUGHAL,Mughal
LEADER_ASHOKA_ALT,"Ashoka, World Conqueror",CIVILIZATION_NEPAL,Nepal
LEADER_ASHOKA_ALT,"Ashoka, World Conqueror",CIVILIZATION_SIAM,Siam
LEADER_AUGUSTUS,Augustus,CIVILIZATION_ABBASID,Abbasid
LEADER_AUGUSTUS,Augustus,CIVILIZATION_BULGARIA,Bulgaria
LEADER_AUGUSTUS,Augustus,CIVILIZATION_CARTHAGE,Carthage
LEADER_AUGUSTUS,Augustus,CIVILIZATION_EGYPT,Egypt
LEADER_AUGUSTUS,Augustus,CIVILIZATION_FRENCH_EMPIRE,French Empire
LEADER_AUGUSTUS,Augustus,CIVILIZATION_PRUSSIA,Prussia
LEADER_AUGUSTUS,Augustus,CIVILIZATION_ROME,Rome
LEADER_AUGUSTUS,Augustus,CIVILIZATION_SPAIN,Spain
LEADER_BENJAMIN_FRANKLIN,Benjamin Franklin,CIVILIZATION_AMERICA,America
LEADER_BENJAMIN_FRANKLIN,Benjamin Franklin,CIVILIZATION_FRENCH_EMPIRE,French Empire
LEADER_BENJAMIN_FRANKLIN,Benjamin Franklin,CIVILIZATION_GREAT_BRITAIN,Great Britain
LEADER_BENJAMIN_FRANKLIN,Benjamin Franklin,CIVILIZATION_GREECE,Greece
LEADER_BENJAMIN_FRANKLIN,Benjamin Franklin,CIVILIZATION_NORMAN,Norman
LEADER_BENJAMIN_FRANKLIN,Benjamin Franklin,CIVILIZATION_ROME,Rome
LEADER_BENJAMIN_FRANKLIN,Benjamin Franklin,CIVILIZATION_SPAIN,Spain
LEADER_BOLIVAR,Simón Bolívar,CIVILIZATION_FRENCH_EMPIRE,French Empire
LEADER_BOLIVAR,Simón Bolívar,CIVILIZATION_INCA,Inca
LEADER_BOLIVAR,Simón Bolívar,CIVILIZATION_MAYA,Maya
LEADER_BOLIVAR,Simón Bolívar,CIVILIZATION_MEXICO,Mexico
LEADER_BOLIVAR,Simón Bolívar,CIVILIZATION_ROME,Rome
LEADER_BOLIVAR,Simón Bolívar,CIVILIZATION_SPAIN,Spain
LEADER_CATHERINE,Catherine the Great,CIVILIZATION_BULGARIA,Bulgaria
LEADER_CATHERINE,Catherine the Great,CIVILIZATION_GREECE,Greece
LEADER_CATHERINE,Catherine the Great,CIVILIZATION_MONGOLIA,Mongolia
LEADER_CATHERINE,Catherine the Great,CIVILIZATION_NORMAN,Norman
LEADER_CATHERINE,Catherine the Great,CIVILIZATION_PRUSSIA,Prussia
LEADER_CATHERINE,Catherine the Great,CIVILIZATION_ROME,Rome
LEADER_CATHERINE,Catherine the Great,CIVILIZATION_RUSSIA,Russia
LEADER_CHARLEMAGNE,Charlemagne,CIVILIZATION_BULGARIA,Bulgaria
LEADER_CHARLEMAGNE,Charlemagne,CIVILIZATION_FRENCH_EMPIRE,French Empire
LEADER_CHARLEMAGNE,Charlemagne,CIVILIZATION_GREECE,Greece
LEADER_CHARLEMAGNE,Charlemagne,CIVILIZATION_NORMAN,Norman
LEADER_CHARLEMAGNE,Charlemagne,CIVILIZATION_PRUSSIA,Prussia
LEADER_CHARLEMAGNE,Charlemagne,CIVILIZATION_ROME,Rome
LEADER_CHARLEMAGNE,Charlemagne,CIVILIZATION_SPAIN,Spain
LEADER_CONFUCIUS,Confucius,CIVILIZATION_HAN,Han
LEADER_CONFUCIUS,Confucius,CIVILIZATION_MING,Ming
LEADER_CONFUCIUS,Confucius,CIVILIZATION_MONGOLIA,Mongolia
LEADER_CONFUCIUS,Confucius,CIVILIZATION_QING,Qing
LEADER_EDWARD_TEACH,Edward Teach,CIVILIZATION_AKSUM,Aksum
LEADER_EDWARD_TEACH,Edward Teach,CIVILIZATION_CARTHAGE,Carthage
LEADER_EDWARD_TEACH,Edward Teach,CIVILIZATION_FRENCH_EMPIRE,French Empire
LEADER_EDWARD_TEACH,Edward Teach,CIVILIZATION_GREAT_BRITAIN,Great Britain
LEADER_EDWARD_TEACH,Edward Teach,CIVILIZATION_ICELAND,Iceland
LEADER_EDWARD_TEACH,Edward Teach,CIVILIZATION_PIRATE_REPUBLIC,Republic of Pirates
LEADER_EDWARD_TEACH,Edward Teach,CIVILIZATION_SPAIN,Spain
LEADER_FRIEDRICH,"Friedrich, Oblique",CIVILIZATION_EGYPT,Egypt
LEADER_FRIEDRICH,"Friedrich, Oblique",CIVILIZATION_FRENCH_EMPIRE,French Empire
LEADER_FRIEDRICH,"Friedrich, Oblique",CIVILIZATION_NORMAN,Norman
LEADER_FRIEDRICH,"Friedrich, Oblique",CIVILIZATION_PRUSSIA,Prussia
LEADER_FRIEDRICH,"Friedrich, Oblique",CIVILIZATION_ROME,Rome
LEADER_FRIEDRICH,"Friedrich, Oblique",CIVILIZATION_SPAIN,Spain
LEADER_FRIEDRICH_ALT,"Friedrich, Baroque",CIVILIZATION_EGYPT,Egypt
LEADER_FRIEDRICH_ALT,"Friedrich, Baroque",CIVILIZATION_FRENCH_EMPIRE,French Empire
LEADER_FRIEDRICH_ALT,"Friedrich, Baroque",CIVILIZATION_NORMAN,Norman
LEADER_FRIEDRICH_ALT,"Friedrich, Baroque",CIVILIZATION_PRUSSIA,Prussia
LEADER_FRIEDRICH_ALT,"Friedrich, Baroque",CIVILIZATION_ROME,Rome
LEADER_FRIEDRICH_ALT,"Friedrich, Baroque",CIVILIZATION_SPAIN,Spain
LEADER_GENGHIS_KHAN,Genghis Khan,CIVILIZATION_ASSYRIA,Assyria
LEADER_GENGHIS_KHAN,Genghis Khan,CIVILIZATION_BULGARIA,Bulgaria
LEADER_GENGHIS_KHAN,Genghis Khan,CIVILIZATION_MONGOLIA,Mongolia
LEADER_GENGHIS_KHAN,Genghis Khan,CIVILIZATION_MUGHAL,Mughal
LEADER_GENGHIS_KHAN,Genghis Khan,CIVILIZATION_PERSIA,Achaemenid Persia
LEADER_GENGHIS_KHAN,Genghis Khan,CIVILIZATION_PRUSSIA,Prussia
LEADER_GILGAMESH,Gilgamesh,CIVILIZATION_ABBASID,Abbasid
LEADER_GILGAMESH,Gilgamesh,CIVILIZATION_ASSYRIA,Assyria
LEADER_GILGAMESH,Gilgamesh,CIVILIZATION_CHOLA,Chola
LEADER_GILGAMESH,Gilgamesh,CIVILIZATION_FRENCH_EMPIRE,French Empire
LEADER_GILGAMESH,Gilgamesh,CIVILIZATION_NORMAN,Norman
LEADER_GILGAMESH,Gilgamesh,CIVILIZATION_OTTOMANS,Ottomans
LEADER_GILGAMESH,Gilgamesh,CIVILIZATION_PERSIA,Achaemenid Persia
LEADER_HARRIET_TUBMAN,Harriet Tubman,CIVILIZATION_AKSUM,Aksum
LEADER_HARRIET_TUBMAN,Harriet Tubman,CIVILIZATION_AMERICA,America
LEADER_HARRIET_TUBMAN,Harriet Tubman,CIVILIZATION_BUGANDA,Buganda
LEADER_HARRIET_TUBMAN,Harriet Tubman,CIVILIZATION_EGYPT,Egypt
LEADER_HARRIET_TUBMAN,Harriet Tubman,CIVILIZATION_INCA,Inca
LEADER_HARRIET_TUBMAN,Harriet Tubman,CIVILIZATION_SONGHAI,Songhai
LEADER_HATSHEPSUT,Hatshepsut,CIVILIZATION_ABBASID,Abbasid
LEADER_HATSHEPSUT,Hatshepsut,CIVILIZATION_AKSUM,Aksum
LEADER_HATSHEPSUT,Hatshepsut,CIVILIZATION_BUGANDA,Buganda
LEADER_HATSHEPSUT,Hatshepsut,CIVILIZATION_CARTHAGE,Carthage
LEADER_HATSHEPSUT,Hatshepsut,CIVILIZATION_EGYPT,Egypt
LEADER_HATSHEPSUT,Hatshepsut,CIVILIZATION_MUGHAL,Mughal
LEADER_HATSHEPSUT,Hatshepsut,CIVILIZATION_SONGHAI,Songhai
LEADER_HIMIKO,"Himiko, Queen of Wa",CIVILIZATION_HAWAII,Hawai'i
LEADER_HIMIKO,"Himiko, Queen of Wa",CIVILIZATION_KHMER,Khmer
LEADER_HIMIKO,"Himiko, Queen of Wa",CIVILIZATION_MAJAPAHIT,Majapahit
LEADER_HIMIKO,"Himiko, Queen of Wa",CIVILIZATION_MEIJI,Meiji Japan
LEADER_HIMIKO,"Himiko, Queen of Wa",CIVILIZATION_MISSISSIPPIAN,Mississippian
LEADER_HIMIKO,"Himiko, Queen of Wa",CIVILIZATION_SIAM,Siam
LEADER_HIMIKO,"Himiko, Queen of Wa",CIVILIZATION_TONGA,Tonga
LEADER_HIMIKO_ALT,"Himiko, High Shaman",CIVILIZATION_HAWAII,Hawai'i
LEADER_HIMIKO_ALT,"Himiko, High Shaman",CIVILIZATION_KHMER,Khmer
LEADER_HIMIKO_ALT,"Himiko, High Shaman",CIVILIZATION_MAJAPAHIT,Majapahit
LEADER_HIMIKO_ALT,"Himiko, High Shaman",CIVILIZATION_MEIJI,Meiji Japan
LEADER_HIMIKO_ALT,"Himiko, High Shaman",CIVILIZATION_MISSISSIPPIAN,Mississippian
LEADER_HIMIKO_ALT,"Himiko, High Shaman",CIVILIZATION_SIAM,Siam
LEADER_HIMIKO_ALT,"Himiko, High Shaman",CIVILIZATION_TONGA,Tonga
LEADER_IBN_BATTUTA,Ibn Battuta,CIVILIZATION_ABBASID,Abbasid
LEADER_IBN_BATTUTA,Ibn Battuta,CIVILIZATION_AKSUM,Aksum
LEADER_IBN_BATTUTA,Ibn Battuta,CIVILIZATION_BUGANDA,Buganda
LEADER_IBN_BATTUTA,Ibn Battuta,CIVILIZATION_CARTHAGE,Carthage
LEADER_IBN_BATTUTA,Ibn Battuta,CIVILIZATION_MUGHAL,Mughal
