modifier_id,description_clean
ABILITY_DIPLOMACY_PIONEERING_MOVEMENT,+{1_Amount} Pioneering Ability Bonus
ABILITY_NARRATIVE_MOVEMENT,+{1_Amount} Agile
ABILITY_NARRATIVE_MOVEMENT_PENALTY,-{1_Amount} Sluggish
ADA_LOVELACE_MOD_CIVIC_MASTERY,"• Cities receive +2Science Science per Age when you complete a Civic Mastery. This resets at the start of each Age.
• Gain Culture equal to 100% of your total Science per turn when you complete a Technology Mastery."
ADA_LOVELACE_MOD_TECH_MASTERY,"• Cities receive +2Science Science per Age when you complete a Civic Mastery. This resets at the start of each Age.
• Gain Culture equal to 100% of your total Science per turn when you complete a Technology Mastery."
AHUPUA_A_MOD_CULTURE_BUILDING_FOOD,+4 Food on Culture Buildings.
AMBITIOUS_GOVERNORS_MOD_UNHAPPINESS,-6 Happiness in Cities.
ANGARIUM_II_MOD_GOLD_PER_TOWN,"+6 Gold in Towns, doubled in Captured Towns from any Age."
ANGARIUM_MOD_GOLD_PER_TOWN,"+3 Gold in Towns, doubled in Captured Towns from any Age."
ASSEMBLY_LINE_MOD_MILITARY_ATTRIBUTE_PRODUCTION,+2 Production from Specialists. -2 Food in Towns.
ATTACH_CS_GOLD_PER_TRADE_AND_SUZERAIN,+1 GoldGold on active Trade RouteTrade Routes for each Economic City-State you are Suzerain of.
ATTACH_LAND_TRADE_ROUTE_RANGE_SUZERAIN,+5 Trade RouteTrade Route range for every Economic City-State you are Suzerain of.
ATTACH_SCIENCE_BUILDINGS_PRODUCTION_SUZERAIN,+5%Production towards constructing Buildings for every Scientific City-State you are Suzerain of.
AVANT_GARDE_MOD_CULTURE_HAPPINESS_PER_GREAT_WORK,+2 Culture and Happiness on displayed Great Works.
BANDITRY_MOD_GOLD,-5 Gold for each imported Resource.
BANNER_ARMY_I_TOT_MOD_MAINTENANCE_DISCOUNT,+20% Production towards training Land Units. -1 Gold Maintenance for Land Units.
BANNER_ARMY_TOT_MOD_MAINTENANCE_DISCOUNT,+30% Production towards training Land Units. -2 Gold Maintenance for Land Units.
BAOJIA_I_MOD_RESOURCE_SCIENCE,+1 Science for each Resource assigned to a Settlement.
BAOJIA_MOD_CITY_RESOURCE_SCIENCE,+1Science Science for each Resource assigned to a City. This becomes +2 in Cities other than your Capital.
BARBARIAN_MERCENARIES_MOD_UNIT_MAINTENANCE,+100% Gold Maintenance for Military Units.
BARRIER_REEF_ADJACENT_RURAL_SEA_YIELDS,Great Barrier Reef
BLUE_HOLE_ADJACENT_RURAL_SEA_YIELDS,Great Blue Hole
BOURGEOISIE_MOD_CULTURE_GOLD_CITIES,+4 Culture and Gold in Cities in your Homelands.
BREAD_DANCE_FARM_TOWNS_CULTURE,+4 Culture in Farming Towns and +4 Food in Fishing Towns.
BREAD_DANCE_II_FARM_TOWNS_CULTURE,+8 Culture in Farming Towns and +8 Food in Fishing Towns.
BUZZARD_CULT_MOD_FREE_MERCHANT,"+3 Combat Strength for Land Units when defending. When making Peace with another Leader, Relationship with that Leader returns to Neutral and you get a free Merchant in your Capital."
CAPITAL_MOD_UNHAPPINESS,-10 Happiness in your Capital.
CARD_MOD_AT_EX_CONQUEROR_3,+6 Happiness in newly Conquered Settlements.
CARD_MOD_AT_MO_CONQUEROR_3,+10 Happiness in newly Conquered Settlements.
CARD_MOD_AT_MO_EXPANSIONIST_1,+5 Combat Strength for Units in your Settlements in Distant Lands.
CARD_MOD_AT_MO_MILITARISTIC_1,+3 Combat Strength against Fortified Districts.
CASTES_MOD_TOWN_FOOD,+2 Food in all Settlements.
CHARISMATIC_LEADER_MOD_PALACE_CULTURE,+2 Culture on the Palace.
CHIVALRY_MOD_MOUNTED_PRODUCTION,+30% Production towards training Cavalry Units.
CITY_GUARD_MOD_FORTIFIED_COMBAT_STRENGTH,+3 Combat Strength for Fortified Districts.
CITY_OF_PEACE_MOD_ADJACENT_CITY_CENTER,All Buildings receive a +1 Science Adjacency with the City Hall and Palace.
CIVIL_ENGINEERING_MOD_OVERBUILDING_PRODUCTION_RATE,+30% Production towards Overbuilding.
COCORICO_MOD_CULTURE_ON_UNIT_DEFEAT,"When you defeat an enemy Unit, gain Culture equal to 25% of its Combat Strength. +2 Happiness on Military Buildings and Wonders."
COCORICO_MOD_I_CULTURE_ON_UNIT_DEFEAT,"When you defeat an enemy Unit, gain Culture equal to 15% of its Combat Strength. +2 Happiness on Military Buildings and Wonders."
COINAGE_MOD_IMPORTED_RESOURCE_GOLD,+1 Gold for each imported Resource. +1 Movement for Merchants.
COLLECTIVIZATION_MOD_TOWN_FOOD_EQUAL_TO_EXPANSIONIST_ATTRIBUTE,Towns gain Food equal to your Expansionist Attribute. -5 Happiness in Cities.
COMMISSIONED_OFFICERS_MOD_COMMANDER_XP,+30% Commander Experience. +1 Movement for Fleets and Armies.
COMMODITIES_MOD_RESOURCE_CAP,+1 Resource Capacity in Cities.
COMMUNE_MOD_OVERBUILDING_PRODUCTION,+20% Production towards Overbuilding. +3 Combat Strength for Fortified Districts.
COMMUNISM_MOD_AGENDA,Decrease Relationship with Leaders of the opposing Ideology with the most Factories.
COMPENDIOUS_BOOK_I_MOD_TOWN_YIELDS,All Buildings receive a +1 Science Adjacency with the Palace.
CONSCRIPTION_MOD_UNIT_MAINTENANCE,-1 Gold Maintenance for Units.
CONSCRIPTION_RIOTS_MOD_HAPPINESS,-10 Happiness in all Cities while at War.
CONSTITUTION_MOD_WORKER_MAINTENANCE,+25% Food and Happiness towards maintaining Specialists.
CORDON_SANITAIRE_MOD_MAJOR_IMMUNITY,"Buildings, Improvements and Districts in Settlements with a stationed Commander are not damaged by Major Outbreaks."
CULTURAL_IMPERIALISM_MOD_SUZERAINS_CULTURE,+6 Culture and Gold for every City-State you are Suzerain of.
DECENTRALIZATION_MOD_TOWN_YIELDS,-75% Gold and Food in Towns with a Specialization.
DEFENSE_OF_THE_MOTHERLAND_COMBAT_STRENGTH_IN_TERRITORY,+3 Combat Strength for all Land Units in your own territory.
DEMAGOGY_MOD_PALACE_HAPPINESS,Gain Happiness on the Palace equal to your Cultural Attribute.
DEMOCRACY_MOD_AGENDA,Decrease Relationship with Leaders of the opposing Ideology with the most captured Settlements.
DESPOTISM_MOD_UNHAPPINESS,-6 Happiness in Settlements without Walls.
DE_FACTO_MOD_UNIT_COMBAT_STRENGTH_DISTANT_LANDS,+3 Combat Strength for all Units in Distant Lands. Units gain +5 Healing.
DE_JURE_MOD_COMBAT_STRENGTH_HOMELANDS,+3 Combat Strength for all Units in Homelands.
DIRIGISME_MOD_GOLD_FROM_SPECAILIST_PER_ECON_ATTRIBUTES,+4 Gold from Specialists. -3 Happiness in Towns.
DIVINE_ENGINE_DIVISION_MOD_GARRISONED_SCIENCE,+2Science Science in Settlements with a Garrisoned Unit. +3 Ranged Combat Strength to Ranged Units adjacent to another Ranged Unit.
DIVINE_MERCY_MOD_MINOR_IMMUNITY,"Buildings, Improvements, and Districts in Settlements that follow your Religion are not damaged by Minor Outbreaks."
DIVINE_PUNISHMENT_MOD_HAPPINESS,+5 Happiness in Infected Settlements that follow your Religion. These Settlements gain a Migrant when Infected.
DIVINE_PUNISHMENT_MOD_MIGRANT,+5 Happiness in Infected Settlements that follow your Religion. These Settlements gain a Migrant when Infected.
DIVINE_RIGHT_MOD_PALACE_HAPPINESS,+10 Happiness and +4 Influence on the Palace.
DRAFT_MOD_UNIT_PURCHASE_COST,+25% Gold towards purchasing Units and -1 Gold maintenance for Units.
DRAMA_AND_POETRY_MOD_CULTURE_BUILDING_RATE,+2 Culture on Culture Buildings. +20% Production towards constructing Culture Buildings.
DRILLS_MOD_RANGED_PRODUCTION,+30% Production towards training Infantry and Ranged Units.
EAST_INDIA_COMPANY_GOLD_TOWN_BUILDINGS,+5 Gold in Towns. +3 Science in Towns adjacent to Coast.
