resource_type,name,resource_class,ages,yield_types,tooltip_antiquity,tooltip_exploration,tooltip_modern,staple,tradeable,leader_exclusive,civ_exclusive
RESOURCE_CITRUS,Citrus,Bonus,Antiquity|Exploration|Modern,,,,+5% Production towards training Naval Units.,0,1,,
RESOURCE_CLAY,Clay,Bonus,Antiquity|Exploration|Modern,YIELD_PRODUCTION,+1 Production on Warehouse Buildings,+1 Production on Warehouse Buildings,,0,1,,
RESOURCE_COFFEE,Coffee,Bonus,Antiquity|Exploration|Modern,,,,+5% Production towards constructing Buildings and Wonders.,0,1,,
RESOURCE_COTTON,Cotton,Bonus,Antiquity|Exploration|Modern,YIELD_FOOD|YIELD_PRODUCTION,"+2 Food, +2 Production.","+3 Food, +3 Production",+5% Production towards training Land Units.,1,1,,
RESOURCE_COWRIE,Cowrie,Bonus,Antiquity|Exploration|Modern,YIELD_GOLD|YIELD_SCIENCE,"+4 Gold in Cities, +2 Science in Towns","+5 Gold in Cities, +3 Science in Towns","+6 Gold in Cities, +4 Science in Towns",0,1,,
RESOURCE_CRABS,Crabs,Bonus,Antiquity|Exploration|Modern,YIELD_FOOD,+1 Food on Warehouse Buildings,+2 Food on Warehouse Buildings,+3 Food on Warehouse Buildings,0,1,,
RESOURCE_DATES,Dates,Bonus,Antiquity|Exploration|Modern,YIELD_FOOD|YIELD_HAPPINESS,"+2 Food, +2 Happiness","+3 Food, +3 Happiness",,0,1,,
RESOURCE_DYES,Dyes,Bonus,Antiquity|Exploration|Modern,YIELD_HAPPINESS,+4 Happiness,+5 Happiness,,0,1,,
RESOURCE_FISH,Fish,Bonus,Antiquity|Exploration|Modern,YIELD_FOOD,+3 Food,+5 Food,"+8 Food in Settlements with a Port, +4 Food in any other Settlement",0,1,Harriet Tubman,
RESOURCE_HIDES,Hides,Bonus,Antiquity|Exploration|Modern,YIELD_PRODUCTION,+3 Production,,,0,1,,Greece
RESOURCE_LLAMAS,Llamas,Bonus,Antiquity|Exploration|Modern,YIELD_HAPPINESS|YIELD_PRODUCTION,"+1 Production, +3 Happiness","+1 Production, +5 Happiness","+1 Production, +7 Happiness",0,1,,
RESOURCE_PITCH,Pitch,Bonus,Antiquity|Exploration|Modern,YIELD_GOLD|YIELD_PRODUCTION,,+1 Gold on Water Buildings,"+1 Production on Factories, +10% Production towards constructing Factories in all Settlements when slotted",0,1,,
RESOURCE_QUININE,Quinine,Bonus,Antiquity|Exploration|Modern,,,,Units heal +1 HP.,0,1,,
RESOURCE_RUBIES,Rubies,Bonus,Antiquity|Exploration|Modern,YIELD_GOLD,+4 Gold,"+1 Gold in Towns, doubled in Homelands",,1,1,,
RESOURCE_TIN,Tin,Bonus,Antiquity|Exploration|Modern,YIELD_GOLD|YIELD_PRODUCTION,"+2 Production in Cities, +4 Production in Towns","+3 Production, +3 Gold",+3% Growth Rate,1,1,,
