node_type,name,age,tree,cost,description_raw,description_clean,prereqs,unlocks,column_pos,row_pos,era_group
NODE_TECH_AQ_AGRICULTURE,Agriculture,AGE_ANTIQUITY,TREE_TECHS_AQ,1,,,,CONSTRUCTIBLE:BUILDING_FISHING_QUAY|CONSTRUCTIBLE:BUILDING_GRANARY|UNIT:UNIT_CHARIOT[TRAIT_MONGOLIA],,,TREE_TECHS_AQ
NODE_TECH_AQ_ANIMAL_HUSBANDRY,Animal Husbandry,AGE_ANTIQUITY,TREE_TECHS_AQ,70,,,NODE_TECH_AQ_AGRICULTURE,CONSTRUCTIBLE:BUILDING_SAW_PIT|UNIT:UNIT_BURNING_ARROW[TRAIT_MISSISSIPPIAN]|UNIT:UNIT_HULCHE[TRAIT_MAYA]|UNIT:UNIT_HWARANG[TRAIT_SILLA]|UNIT:UNIT_NU[TRAIT_HAN]|UNIT:UNIT_SLINGER,,,TREE_TECHS_AQ
NODE_TECH_AQ_BRONZE_WORKING,Bronze Working,AGE_ANTIQUITY,TREE_TECHS_AQ,255,,,NODE_TECH_AQ_IRRIGATION|NODE_TECH_AQ_WRITING,CONSTRUCTIBLE:BUILDING_BARRACKS|MODIFIER:MOD_AQ_CODEX_REDUX|MODIFIER:MOD_AQ_TECH_INFANTRY_STRENGTH|UNIT:UNIT_ARCHER|UNIT:UNIT_BURNING_ARROW_2[TRAIT_MISSISSIPPIAN]|UNIT:UNIT_HOPLITE_2[TRAIT_GREECE]|UNIT:UNIT_HULCHE_2[TRAIT_MAYA]|UNIT:UNIT_HWARANG_2[TRAIT_SILLA]|UNIT:UNIT_IMMORTAL[TRAIT_PERSIA]|UNIT:UNIT_LEGION[TRAIT_ROME]|UNIT:UNIT_MEDJAY_2[TRAIT_EGYPT]|UNIT:UNIT_NU_2[TRAIT_HAN]|UNIT:UNIT_SPEARMAN,,,TREE_TECHS_AQ
NODE_TECH_AQ_CURRENCY,Currency,AGE_ANTIQUITY,TREE_TECHS_AQ,245,,,NODE_TECH_AQ_SAILING|NODE_TECH_AQ_WRITING,CONSTRUCTIBLE:BUILDING_BATH|CONSTRUCTIBLE:BUILDING_MARKET|CONSTRUCTIBLE:WONDER_COLOSSUS|MODIFIER:MOD_AQ_CODEX_REDUX|MODIFIER:MOD_AQ_GOLD_BUILDING_GDP|MODIFIER:MOD_AQ_SPECIALIST_CAP_INCREASE|MODIFIER:MOD_TECH_AQ_TRADE_RANGE_LAND|MODIFIER:MOD_TECH_AQ_TRADE_RANGE_SEA,,,TREE_TECHS_AQ
NODE_TECH_AQ_ENGINEERING,Engineering,AGE_ANTIQUITY,TREE_TECHS_AQ,430,,,NODE_TECH_AQ_BRONZE_WORKING|NODE_TECH_AQ_CURRENCY,CONSTRUCTIBLE:BUILDING_AMPHITHEATER|CONSTRUCTIBLE:BUILDING_ANCIENT_BRIDGE|CONSTRUCTIBLE:WONDER_BYRSA|MODIFIER:MOD_AQ_CODEX_REDUX,,,TREE_TECHS_AQ
NODE_TECH_AQ_FUTURE_TECH,Future Tech,AGE_ANTIQUITY,TREE_TECHS_AQ,1255,,,NODE_TECH_AQ_IRON_WORKING|NODE_TECH_AQ_MATHEMATICS|NODE_TECH_AQ_NAVIGATION,MODIFIER:MOD_AQ_FUTURE_TECH_AGE_PROGRESS|MODIFIER:MOD_AQ_FUTURE_TECH_ATTRIBUTE|MODIFIER:MOD_AQ_FUTURE_TECH_BOOST|MODIFIER:MOD_AQ_FUTURE_TECH_SCIENCE_VP,,,TREE_TECHS_AQ
NODE_TECH_AQ_IRON_WORKING,Iron Working,AGE_ANTIQUITY,TREE_TECHS_AQ,738,,,NODE_TECH_AQ_MILITARY_TRAINING,CONSTRUCTIBLE:WONDER_MAUSOLEUM_AT_HALICARNASSUS|UNIT:UNIT_DANTINAS_TATHA_2[TRAIT_KHMER]|UNIT:UNIT_HOPLITE_3[TRAIT_GREECE]|UNIT:UNIT_HORSEMAN|UNIT:UNIT_IMMORTAL_2[TRAIT_PERSIA]|UNIT:UNIT_LEGION_2[TRAIT_ROME]|UNIT:UNIT_MAGARRU_2[TRAIT_ASSYRIA]|UNIT:UNIT_MEDJAY_3[TRAIT_EGYPT]|UNIT:UNIT_NUMIDIAN_CAVALRY_2[TRAIT_CARTHAGE]|UNIT:UNIT_PHALANX|UNIT:UNIT_PURABHETTARAH_2[TRAIT_MAURYA],,,TREE_TECHS_AQ
NODE_TECH_AQ_IRRIGATION,Irrigation,AGE_ANTIQUITY,TREE_TECHS_AQ,125,,,NODE_TECH_AQ_ANIMAL_HUSBANDRY|NODE_TECH_AQ_POTTERY,CONSTRUCTIBLE:BUILDING_GARDEN|CONSTRUCTIBLE:WONDER_HANGING_GARDENS|MODIFIER:MOD_AQ_SETTLEMENT_CAP_INCREASE,,,TREE_TECHS_AQ
NODE_TECH_AQ_MASONRY,Masonry,AGE_ANTIQUITY,TREE_TECHS_AQ,125,,,NODE_TECH_AQ_ANIMAL_HUSBANDRY,CONSTRUCTIBLE:BUILDING_ANCIENT_WALLS|CONSTRUCTIBLE:BUILDING_MONUMENT|CONSTRUCTIBLE:WONDER_PYRAMIDS|MODIFIER:MOD_AQ_CODEX_REDUX|MODIFIER:MOD_AQ_TECH_WALL_STRENGTH,,,TREE_TECHS_AQ
NODE_TECH_AQ_MATHEMATICS,Mathematics,AGE_ANTIQUITY,TREE_TECHS_AQ,738,,,NODE_TECH_AQ_ENGINEERING,CONSTRUCTIBLE:BUILDING_ACADEMY|CONSTRUCTIBLE:WONDER_GREAT_LIBRARY|CONSTRUCTIBLE:WONDER_PYRAMID_OF_THE_SUN|MODIFIER:MOD_AQ_MATHEMATICS_CODEX_REDUX|PROJECT:PROJECT_SPHERICAL_EARTH,,,TREE_TECHS_AQ
