age,victory_category,legacy_type,name,trigger_description_raw,trigger_description_clean,reward_description_raw,reward_description_clean,has_race_variant,first_player_only,major_legacy,legacy_sets
Antiquity,Culture,LEGACY_AQ_CULTURAL_1,Wonders of the Ancient World,Build [B]7 [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP][/B].,Build 7 Wonders.,[B]+2 [icon:YIELD_CULTURE][/B] and [icon:YIELD_PRODUCTION] on [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP].,+2 Culture and Production on Wonders.,1,0,1,Default|Trailblazer|Classic
Antiquity,Culture,LEGACY_AQ_CULTURAL_2,Orphic Mysteries,First to have 6 Altars.,First to have 6 Altars.,Unlock [icon:RADIAL_CIVICS] Piety. [B]+25% [icon:YIELD_PRODUCTION][/B] toward constructing Temples.,Unlock Radial_Civics Piety. +25% Production toward constructing Temples.,1,1,1,Default|Trailblazer
Antiquity,Culture,LEGACY_AQ_CULTURAL_3,Code of Hammurabi,First to slot [B]9 [icon:SOCIAL_POLICY] [TIP:LOC_PEDIA_CONCEPTS_SOCIAL_POLICY_TOOLTIP]Social Policies[/TIP][/B] or [icon:TRADITION] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Traditions[/TIP].,First to slot 9 Social_Policy Social Policies or Tradition Traditions.,[B]+1 [icon:NAR_REW_TRADITION_SLOT] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition Slot[/TIP][/B]. [B]+2 [icon:YIELD_CULTURE][/B] for every [icon:SOCIAL_POLICY] [TIP:LOC_PEDIA_CONCEPTS_SOCIAL_POLICY_TOOLTIP]Social Policy[/TIP] or [icon:TRADITION] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition[/TIP] slotted.,+1 Nar_Rew_Tradition_Slot Tradition Slot. +2 Culture for every Social_Policy Social Policy or Tradition Tradition slotted.,1,1,1,Default|Trailblazer
Antiquity,Culture,LEGACY_AQ_CULTURAL_4,I Know That I Know Nothing,First to study [icon:RADIAL_CIVICS] Philosophy.,First to study Radial_Civics Philosophy.,[B]+1 [icon:YIELD_HAPPINESS][/B] on [icon:YIELD_CULTURE] [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Culture Buildings[/TIP].,+1 Happiness on Culture Culture Buildings.,1,1,0,Default|Trailblazer
Antiquity,Culture,LEGACY_AQ_CULTURAL_5,Hundred Schools of Thought,Study all generic [TIP:LOC_PEDIA_CONCEPTS_CIVIC_TOOLTIP]Civics[/TIP] and [TIP:LOC_PEDIA_CONCEPTS_MASTERY_TOOLTIP]Masteries[/TIP].,Study all generic Civics and Masteries.,[B]+1 [icon:YIELD_POPULATION] [TIP:LOC_PEDIA_CONCEPTS_POPULATION_TOOLTIP]Population[/TIP][/B] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP].,+1 Population Population in Towns Towns.,1,0,0,Default|Trailblazer
Antiquity,Diplomatic,LEGACY_AQ_DIPLOMATIC_1,Pulling the Strings,Become [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of [B]4 [icon:CITYSTATE] [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-States[/TIP][/B].,Become Suzerain of 4 Citystate City-States.,[B]+2 [icon:YIELD_DIPLOMACY][/B] and [icon:YIELD_HAPPINESS] on your [TIP:LOC_PEDIA_CONCEPTS_PALACE_TOOLTIP]Palace[/TIP] for every [icon:CITYSTATE] [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+2 Diplomacy and Happiness on your Palace for every Citystate City-State you are Suzerain of.,1,0,1,Default|Trailblazer
Antiquity,Diplomatic,LEGACY_AQ_DIPLOMATIC_2,Arthasastra,Successfully complete an [icon:ESPIONAGE] [TIP:LOC_PEDIA_CONCEPTS_ESPIONAGE_TOOLTIP]Espionage Action[/TIP] 5 times.,Successfully complete an Espionage Espionage Action 5 times.,"[B]+25% [icon:YIELD_DIPLOMACY][/B] toward [icon:ESPIONAGE] [TIP:LOC_PEDIA_CONCEPTS_ESPIONAGE_TOOLTIP]Espionage Actions[/TIP], which complete 25% faster.","+25% Diplomacy toward Espionage Espionage Actions, which complete 25% faster.",1,0,1,Default|Trailblazer
Antiquity,Diplomatic,LEGACY_AQ_DIPLOMATIC_3,League of Legendary Friends,[icon:PLAYER_RELATIONSHIP_ALLIANCE] [TIP:LOC_PEDIA_CONCEPTS_ALLIANCE_TOOLTIP]Ally[/TIP] with 2 Leaders.,Player_Relationship_Alliance Ally with 2 Leaders.,[B]+5 [icon:YIELD_HAPPINESS][/B] in all [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] per [icon:PLAYER_RELATIONSHIP_ALLIANCE] [TIP:LOC_PEDIA_CONCEPTS_ALLIANCE_TOOLTIP]Alliance[/TIP]. [B]+200% [icon:YIELD_DIPLOMACY][/B] cost to [icon:SANCTIONS] [TIP:LOC_PEDIA_CONCEPTS_SANCTION_TOOLTIP]Denounce[/TIP].,+5 Happiness in all Settlements per Player_Relationship_Alliance Alliance. +200% Diplomacy cost to Sanctions Denounce.,1,0,1,Default|Trailblazer
Antiquity,Diplomatic,LEGACY_AQ_DIPLOMATIC_4,Herodotus Says Hello,Complete [B]10 [icon:ENDEAVOR] [TIP:LOC_PEDIA_CONCEPTS_ENDEAVOR_TOOLTIP]Endeavors[/TIP][/B] that you initiated.,Complete 10 Endeavor Endeavors that you initiated.,[B]+25% [icon:RELATIONSHIP] [TIP:LOC_PEDIA_CONCEPTS_RELATIONSHIP_TOOLTIP]Relationship[/TIP][/B] change from [icon:ENDEAVOR] [TIP:LOC_PEDIA_CONCEPTS_ENDEAVOR_TOOLTIP]Endeavors[/TIP] with Leaders.,+25% Relationship Relationship change from Endeavor Endeavors with Leaders.,1,0,0,Default|Trailblazer|Explorer
Antiquity,Diplomatic,LEGACY_AQ_DIPLOMATIC_5,Bread & Circuses,Have 50 excess [icon:YIELD_HAPPINESS] in a [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP].,Have 50 excess Happiness in a Settlement.,[B]+1 [icon:NAR_REW_TRADITION_SLOT] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition Slot[/TIP][/B].,+1 Nar_Rew_Tradition_Slot Tradition Slot.,1,0,0,Default|Trailblazer
