kind,name,row_type,ability_or_tradition_name,age,description_clean,syncretism_options,modifier_type,modifier_args
civilization,Abbasid,Unique Ability,Madina,Apex,"• Receive 30 Gold for each Population Rural Population of the City when you create a Specialist. (Scales by Game Speed)
• +20% Production towards constructing Buildings in Cities with at least 5 Specialists.
• +30% Production towards constructing the House of Wisdom.","Buganda, Mughal, Ottomans, Qajar",TRAIT_MOD_TOT_AQ_GOLD_SPECIALISTS_TYPE,Worker=true; Rural=true; Amount=10; YieldType=YIELD_GOLD; Tooltip=LOC_TRAIT_ABBASID_ABILITY_NAME
civilization,Abbasid,Self-Syncretism Tradition,Rasool I,Antiquity,Buildings gain a +1 Happiness Adjacency for the Palace.,,,MOD_UNLOCK_ABBASID_SYNCRETISM_ANTIQUITY
civilization,Abbasid,Self-Syncretism Tradition,Rasool II,Modern,Buildings gain a +1 Happiness Adjacency for the City Hall and Palace.,,,MOD_UNLOCK_ABBASID_SYNCRETISM_MODERN
civilization,Achaemenid Persia,Unique Ability,Hamarana Council,Apex,"• +3 Combat Strength for Infantry Units when attacking.
• Army Commanders start with a free Promotion.
• +30% Production towards constructing the Gate of All Nations.","Abbasid, Mongolia, Mughal, Qajar",TRAIT_MOD_HAMARANA_COUNCIL_TYPE; TRAIT_MOD_HAMARANA_COMMANDER_PROMOTION_TYPE; MOD_CIV_WONDER_PRODUCTION_PERSIA_TYPE,AbilityType=ABILITY_HAMARANA_COUNCIL; Amount=1; Percent=30
civilization,Achaemenid Persia,Self-Syncretism Tradition,Fractal Rule I,Exploration,+1 Culture on Unique Improvements. +1 Gold on Unique Improvements and Buildings in Captured Settlements from any Age.,,,MOD_UNLOCK_PERSIA_SYNCRETISM_EXPLORATION
civilization,Achaemenid Persia,Self-Syncretism Tradition,Fractal Rule II,Modern,+2 Culture on Unique Improvements. +2 Gold on Unique Improvements and Buildings in Captured Settlements from any Age.,,,MOD_UNLOCK_PERSIA_SYNCRETISM_MODERN
civilization,Aksum,Unique Ability,Kingdom of Natural Wealth,Apex,"• +3 Gold on Resources in Settlements adjacent to Coast.
• +1 Trade Route Limit with other Civilizations, and all Civilizations have +1 Trade Route Limit with you.
• Trade Routes to or from your Settlements have unlimited Range.
• +30% Production towards constructing the Great Stele.","Buganda, Republic of Pirates, Songhai",TRAIT_MOD_KINGDOM_OF_NATURAL_WEALTH_RESOURCE_TYPE; TRAIT_MOD_KINGDOM_OF_NATURAL_WEALTH_TRADE_ROUTE_CAP_SELF_TYPE; TRAIT_MOD_KINGDOM_OF_NATURAL_WEALTH_TRADE_ROUTE_CAP_OTHERS_TYPE; TRAIT_MOD_KINGDOM_OF_NATURAL_WEALTH_TRADE_ROUTE_UNLIMITED_RANGE_TYPE; MOD_CIV_WONDER_PRODUCTION_AKSUM_TYPE,WarehouseYieldChange=AksumKingdomOfNaturalWealthResourceGold; Tooltip=LOC_TRAIT_AKSUM_ABILITY_NAME; Amount=1; MajorsOnly=true; Amount=1; MajorsOnly=true; RoutesToPlayer=true; UnlimitedRange=true; Percent=30
civilization,Aksum,Self-Syncretism Tradition,Incense Road I,Exploration,+1 Production in the Capital for every active Trade Route. Trade Routes gain +2 Sight and cannot be Pillaged.,,,MOD_UNLOCK_AKSUM_SYNCRETISM_EXPLORATION
civilization,Aksum,Self-Syncretism Tradition,Incense Road II,Modern,+2 Production in the Capital for every active Trade Route. Trade Routes gain +2 Sight and cannot be Pillaged.,,,MOD_UNLOCK_AKSUM_SYNCRETISM_MODERN
civilization,America,Unique Ability,Frontier Expansion,Apex,"• Gain 150 Gold every time you improve a Resource.
• +1 Production on Resources.
• +30% Production towards constructing the Statue of Liberty.",,TRAIT_MOD_FRONTIER_EXPANSION_GOLD_ON_IMPROVED_RESOURCES_TYPE; TRAIT_MOD_FRONTIER_EXPANSION_PRODUCTION_ON_RESOURCES_TYPE,Amount=50; YieldType=YIELD_GOLD; Amount=1; YieldType=YIELD_PRODUCTION
civilization,America,Self-Syncretism Tradition,Land of Opportunity I,Antiquity,+1 Food on Resources in Towns.,,,MOD_UNLOCK_AMERICA_SYNCRETISM_ANTIQUITY
civilization,America,Self-Syncretism Tradition,Land of Opportunity II,Exploration,"+1 Food on Resources in Towns. +1 Production on Mines, Clay Pits, Quarries, Woodcutters, and Oil Rigs in Mining Towns, Warehouse Bonus.",,,MOD_UNLOCK_AMERICA_SYNCRETISM_EXPLORATION
